folha,massa,Ø paq,Ø reg,desvio paq,desvio reg
1,0.0107,3.36,4.0,0.418,0
1,0.0192,4.30,5.33,0.426,0.471
1,0.0446,5.98,6.0,0.347,0
1,0.0847,7.75,7.0,0.267,0
1,0.1661,9.66,9.33,0.487,0.471
32,0.3346,14.1,13.33,0.941,0.471
64,0.6790,15.0,15.0,0.081,0.816
128,1.3004,21.31,22.0,0.154,0.816
256,2.7065,32.94,35.0,1.202,0.816
